,0
1872,84.7K
1873,41.4K
1874,478.4K
1875,299.4K
1876,146K
1877,131.1K
1878,50.7K
1879,256K
1880,64.7K
1881,87.4K
1882,172.9K
1883,14.7K
1884,500K
1885,116.4K
1886,12K
1887,61.9K
1888,1.5M
1889,122.4K
1890,176K
1891,286.9K
1892,76.8K
1893,41.8K
1894,133.7K
1895,278.9K
1896,105.8K
1897,57.6K
1898,367.6K
1899,526.3K
1900,661.6K
1901,248.2K
1902,683.8K
1903,148.1K
1904,236K
1905,305.8K
1906,730.1K
1907,326.6K
1908,10.2K
1909,6719
1910,579.6K
1911,37.6K
1912,523K
1913,371K
1914,145.3K
1915,333K
1916,635.2K
1917,241.1K
1918,115.2K
1919,1.1M
1920,29.4K
1921,572.6K
1922,182.8K
1923,1.2M
1924,370K
1925,122.4K
1926,19.9K
1927,665.5K
1928,125.5K
1929,466.1K
1930,185.6K
1931,332.3K
1932,231K
1933,457K
1934,105.6K
1935,130.4K
1936,116.4K
1937,500K
1938,137.5K
1939,97.3K
1940,474.7K
1941,533.1K
1942,1.2M
1943,30.1K
1944,134.1K
1945,400.2K
1946,138.3K
1947,97.9K
1948,297.6K
1949,1.1M
1950,314.4K
1951,625.9K
1952,658.3K
1953,747.2K
1954,708.6K
1955,1.7M
1956,6573
1957,413.8K
1958,580K
1959,972.3K
1960,378.7K
1961,238.5K
1962,1.2M
1963,838
1964,226.6K
1965,466.1K
1966,838
1967,45.7K
1968,451.5K
1969,1.1M
1970,352.6K
1971,230.7K
1972,504.9K
1973,133.3K
1974,165.4K
1975,475.3K
1976,16.5K
1977,89.6K
1978,289.9K
1979,147.9K
1980,309.1K
1981,118.4K
1982,9079
1983,213.2K
1984,213.4K
1985,77.8K
1986,1519
1987,137.6K
1988,29.2K
1989,115.8K
1990,428.8K
1991,361.3K
